City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Datetime
409,diffa,13.3154,12.6113,73.0,23,85,8.5,NE,1675649063,2023-02-06 02:04:23
410,muros,42.7762,-9.0603,45.09,78,5,7.25,ES,1675649163,2023-02-06 02:06:03
411,praia,14.9215,-23.5087,68.54,64,75,20.71,CV,1675649164,2023-02-06 02:06:04
412,haines junction,60.7522,-137.5108,13.95,79,100,1.14,CA,1675649165,2023-02-06 02:06:05
413,ancud,-41.8697,-73.8203,55.47,81,66,4.83,CL,1675649165,2023-02-06 02:06:05
414,tautira,-17.7333,-149.15,81.0,77,100,11.03,PF,1675649166,2023-02-06 02:06:06
415,varkkallai,8.7341,76.7067,78.58,69,95,5.68,IN,1675649166,2023-02-06 02:06:06
416,christchurch,-43.5333,172.6333,88.32,32,75,6.91,NZ,1675649167,2023-02-06 02:06:07
417,semnan,35.5729,53.3971,35.44,60,0,2.3,IR,1675649168,2023-02-06 02:06:08
418,jiayuguan,39.8167,98.3,28.09,37,92,2.42,CN,1675649168,2023-02-06 02:06:08
419,taoudenni,22.6783,-3.9836,58.93,28,99,9.1,ML,1675649168,2023-02-06 02:06:08
420,simojovel,17.1391,-92.7103,64.56,99,77,1.59,MX,1675649169,2023-02-06 02:06:09
421,saint anthony,45.0205,-93.218,24.42,78,0,4.61,US,1675649169,2023-02-06 02:06:09
422,patancheru,17.5314,78.265,61.66,30,43,5.41,IN,1675649171,2023-02-06 02:06:11
423,paamiut,61.994,-49.6678,12.92,76,100,17.45,GL,1675648893,2023-02-06 02:01:33
424,huilong,31.8111,121.655,45.93,97,100,7.63,CN,1675649172,2023-02-06 02:06:12
425,hervey bay,-25.2986,152.8535,80.82,78,86,20.0,AU,1675649173,2023-02-06 02:06:13
426,middelburg,-25.7751,29.4648,58.48,79,12,3.2,ZA,1675649174,2023-02-06 02:06:14
427,saint-francois,46.4154,3.9054,40.68,81,100,11.5,FR,1675649176,2023-02-06 02:06:16
428,okhotsk,59.3833,143.3,-10.03,75,99,12.39,RU,1675649176,2023-02-06 02:06:16
429,pacifica,37.6138,-122.4869,50.65,83,75,19.57,US,1675649152,2023-02-06 02:05:52
430,qaqortoq,60.7167,-46.0333,11.23,87,37,19.69,GL,1675649177,2023-02-06 02:06:17
431,humaita,-7.5061,-63.0208,73.58,94,37,2.24,BR,1675649177,2023-02-06 02:06:17
432,sioux lookout,50.1001,-91.917,5.07,78,75,4.61,CA,1675649178,2023-02-06 02:06:18
433,port-gentil,-0.7193,8.7815,80.94,78,99,10.38,GA,1675649178,2023-02-06 02:06:18
434,klaksvik,62.2266,-6.589,49.12,88,100,33.44,FO,1675649179,2023-02-06 02:06:19
435,terney,45.0503,136.6092,19.67,45,15,8.03,RU,1675649180,2023-02-06 02:06:20
436,itoman,26.1247,127.6694,70.57,86,75,13.8,JP,1675649180,2023-02-06 02:06:20
437,smidovich,48.6,133.8167,-1.62,85,13,6.24,RU,1675649181,2023-02-06 02:06:21
438,axim,4.8699,-2.2405,79.54,90,70,8.57,GH,1675649182,2023-02-06 02:06:22
439,tecoanapa,16.5167,-98.75,78.4,72,0,4.7,MX,1675649182,2023-02-06 02:06:22
440,ambilobe,-13.2,49.05,72.19,95,61,2.44,MG,1675649182,2023-02-06 02:06:22
441,bilibino,68.0546,166.4372,-31.61,100,100,1.34,RU,1675649183,2023-02-06 02:06:23
442,altona,53.55,9.9333,31.66,95,20,6.91,DE,1675649183,2023-02-06 02:06:23
443,jacqueville,5.2052,-4.4146,80.19,87,100,10.16,CI,1675649184,2023-02-06 02:06:24
444,bethausen,45.8331,21.9528,22.8,90,18,5.12,RO,1675649184,2023-02-06 02:06:24
445,tsiroanomandidy,-18.7667,46.0333,65.14,96,100,2.01,MG,1675649185,2023-02-06 02:06:25
446,high level,58.5169,-117.136,12.31,79,75,5.75,CA,1675649177,2023-02-06 02:06:17
447,bandarbeyla,9.4942,50.8122,74.34,75,63,13.6,SO,1675649186,2023-02-06 02:06:26
448,sal rei,16.1833,-22.9167,68.23,59,94,23.47,CV,1675649187,2023-02-06 02:06:27
449,ponta delgada,37.7333,-25.6667,59.72,77,75,10.36,PT,1675649188,2023-02-06 02:06:28
450,santiago del estero,-27.7951,-64.2615,77.34,46,47,7.83,AR,1675648926,2023-02-06 02:02:06
451,te anau,-45.4167,167.7167,64.11,61,85,6.87,NZ,1675648984,2023-02-06 02:03:04
452,harper,4.375,-7.7169,79.27,83,85,7.83,LR,1675649190,2023-02-06 02:06:30
453,burhaniye,39.5004,26.9727,31.91,59,75,20.71,TR,1675649190,2023-02-06 02:06:30
454,abong mbang,3.9833,13.1833,63.59,41,38,3.49,CM,1675649191,2023-02-06 02:06:31
455,katherine,-14.4667,132.2667,89.92,43,87,6.91,AU,1675649191,2023-02-06 02:06:31
456,shingu,33.7333,135.9833,53.17,42,100,1.86,JP,1675649192,2023-02-06 02:06:32
457,miri,4.4148,114.0089,82.54,89,20,4.61,MY,1675649192,2023-02-06 02:06:32
458,camocim,-2.9022,-40.8411,76.42,90,28,7.65,BR,1675649192,2023-02-06 02:06:32
459,mutum,-19.8,-41.4383,73.31,91,0,3.31,BR,1675649193,2023-02-06 02:06:33
460,novyy urengoy,66.0833,76.6333,-13.94,100,75,4.81,RU,1675649193,2023-02-06 02:06:33
461,vaitape,-16.5167,-151.75,81.28,76,8,15.37,PF,1675649194,2023-02-06 02:06:34
462,tello,3.0669,-75.1378,81.01,57,83,4.18,CO,1675649194,2023-02-06 02:06:34
463,mikhaylovka,50.06,43.2379,11.7,97,98,4.85,RU,1675649005,2023-02-06 02:03:25
464,ambulu,-8.345,113.6058,82.06,71,98,2.33,ID,1675649194,2023-02-06 02:06:34
465,hambantota,6.1241,81.1185,75.54,100,40,2.3,LK,1675649195,2023-02-06 02:06:35
466,jiaxing,30.7522,120.75,53.02,98,100,1.19,CN,1675649195,2023-02-06 02:06:35
467,jiaocheng,24.6774,116.1389,62.53,96,99,1.16,CN,1675649195,2023-02-06 02:06:35
